Time [s],Channel 0
0.000000000,0
2.399977160,1
2.498252080,0
2.533377240,1
2.564936600,0
2.600007280,1
2.614403600,0
2.716716760,1
2.748358760,0
2.833390080,1
2.915106360,0
2.983315240,1
3.098486880,0
3.250043560,1
3.315147000,0
3.350084320,1
3.498502560,0
3.550084080,1
3.581820960,0
3.650091840,1
3.698505960,0
3.766779000,1
3.798520440,0
3.883471280,1
3.948529600,0
3.966802400,1
3.998532040,0
4.100152280,1
4.148509280,0
4.183486120,1
4.265219040,0
4.366852040,1
4.448589920,0
4.483529200,1
4.548599840,0
4.633603520,1
4.698609280,0
4.716933840,1
4.748624000,0
4.900326880,1
4.932008360,0
4.967002040,1
4.998693480,0
5.016985360,1
5.082049400,0
5.117020560,1
5.165388560,0
5.300370720,1
5.314762760,0
5.314789400,1
5.314851280,0
5.417043040,1
5.448715880,0
5.467022520,1
5.498738360,0
5.567038960,1
5.598745320,0
5.617023360,1
5.715458280,0
7.606930692,0
